page,url,ss,source_query,URL_STRUCTURE_PASS,WANDROZ_QUERY_MATCH,BOOKING_DESTINATION_VERIFIED,AFFILIATE_ATTRIBUTION_VERIFIED,destination_class,notes
amsterdam/nieuwmarkt-lastage,https://www.booking.com/searchresults.html?ss=Nieuwmarkt/Lastage%2C%20Amsterdam%2C%20Netherlands,"Nieuwmarkt/Lastage, Amsterdam, Netherlands","Nieuwmarkt/Lastage, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/noordelijke-ij-oevers-oost,https://www.booking.com/searchresults.html?ss=Noordelijke%20IJ-oevers-Oost%2C%20Amsterdam%2C%20Netherlands,"Noordelijke IJ-oevers-Oost, Amsterdam, Netherlands","Noordelijke IJ-oevers-Oost, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/noordelijke-ij-oevers-west,https://www.booking.com/searchresults.html?ss=Noordelijke%20IJ-oevers-West%2C%20Amsterdam%2C%20Netherlands,"Noordelijke IJ-oevers-West, Amsterdam, Netherlands","Noordelijke IJ-oevers-West, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/omval-overamstel,https://www.booking.com/searchresults.html?ss=Omval/Overamstel%2C%20Amsterdam%2C%20Netherlands,"Omval/Overamstel, Amsterdam, Netherlands","Omval/Overamstel, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/oostelijk-havengebied,https://www.booking.com/searchresults.html?ss=Oostelijk%20Havengebied%2C%20Amsterdam%2C%20Netherlands,"Oostelijk Havengebied, Amsterdam, Netherlands","Oostelijk Havengebied, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/oostelijke-eilanden-kadijken,https://www.booking.com/searchresults.html?ss=Oostelijke%20Eilanden/Kadijken%2C%20Amsterdam%2C%20Netherlands,"Oostelijke Eilanden/Kadijken, Amsterdam, Netherlands","Oostelijke Eilanden/Kadijken, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/oosterparkbuurt,https://www.booking.com/searchresults.html?ss=Oosterparkbuurt%2C%20Amsterdam%2C%20Netherlands,"Oosterparkbuurt, Amsterdam, Netherlands","Oosterparkbuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/oostzanerwerf,https://www.booking.com/searchresults.html?ss=Oostzanerwerf%2C%20Amsterdam%2C%20Netherlands,"Oostzanerwerf, Amsterdam, Netherlands","Oostzanerwerf, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/osdorp-midden,https://www.booking.com/searchresults.html?ss=Osdorp-Midden%2C%20Amsterdam%2C%20Netherlands,"Osdorp-Midden, Amsterdam, Netherlands","Osdorp-Midden, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/osdorp-oost,https://www.booking.com/searchresults.html?ss=Osdorp-Oost%2C%20Amsterdam%2C%20Netherlands,"Osdorp-Oost, Amsterdam, Netherlands","Osdorp-Oost, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
